firstName,lastName,gender,wikia,seasonId
Gary,Stritesky,male,http://survivor.wikia.com/wiki/Gary_Stritesky,14
Heidi,Strobel,female,http://survivor.wikia.com/wiki/Heidi_Strobel,6
Brooke,Struck,female,http://survivor.wikia.com/wiki/Brooke_Struck,11
Russell,Swan,male,http://survivor.wikia.com/wiki/Russell_Swan,19
Russell,Swan,male,http://survivor.wikia.com/wiki/Russell_Swan,25
Brendan,Synnott,female,http://survivor.wikia.com/wiki/Brendan_Synnott,18
Semhar,Tadesse,female,http://survivor.wikia.com/wiki/Semhar_Tadesse,23
Mari,Takahashi,female,http://survivor.wikia.com/wiki/Mari_Takahashi,33
Twila,Tanner,female,http://survivor.wikia.com/wiki/Twila_Tanner,9
Jimmy,Tarantino,male,http://survivor.wikia.com/wiki/Jimmy_Tarantino,21
CeCe,Taylor,female,http://survivor.wikia.com/wiki/CeCe_Taylor,33
J'Tia,Taylor,female,http://survivor.wikia.com/wiki/J%27Tia_Taylor,28
Osten,Taylor,male,http://survivor.wikia.com/wiki/Osten_Taylor,7
Natalie,Tenerelli,female,http://survivor.wikia.com/wiki/Natalie_Tenerelli,22
Michelle,Tesauro,female,http://survivor.wikia.com/wiki/Michelle_Tesauro,7
J.T.,Thomas,male,http://survivor.wikia.com/wiki/J.T._Thomas,18
J.T.,Thomas,male,http://survivor.wikia.com/wiki/J.T._Thomas,20
J.T.,Thomas,male,http://survivor.wikia.com/wiki/J.T._Thomas,34
Shamar,Thomas,male,http://survivor.wikia.com/wiki/Shamar_Thomas,26
Sierra,Thomas,female,http://survivor.wikia.com/wiki/Sierra_Thomas,30
Sierra,Thomas,female,http://survivor.wikia.com/wiki/Sierra_Thomas,34
Sabrina,Thompson,female,http://survivor.wikia.com/wiki/Sabrina_Thompson,24
Reynold,Toepfer,male,http://survivor.wikia.com/wiki/Reynold_Toepfer,26
Keith,Tollefson,male,http://survivor.wikia.com/wiki/Keith_Tollefson,23
Janu,Tornell,female,http://survivor.wikia.com/wiki/Janu_Tornell,10
Vecepia,Towery,female,http://survivor.wikia.com/wiki/Vecepia_Towery,4
Chelsea,Townsend,female,http://survivor.wikia.com/wiki/Chelsea_Townsend,36
Blake,Towsley,male,http://survivor.wikia.com/wiki/Blake_Towsley,11
Ashley,Trainer,female,http://survivor.wikia.com/wiki/Ashley_Trainer,19
Tai,Trang,male,http://survivor.wikia.com/wiki/Tai_Trang,32
Tai,Trang,male,http://survivor.wikia.com/wiki/Tai_Trang,34
Mick,Trimming,male,http://survivor.wikia.com/wiki/Mick_Trimming,19
Ryan,Ulrich,male,http://survivor.wikia.com/wiki/Ryan_Ulrich,35
Elyse,Umemoto,female,http://survivor.wikia.com/wiki/Elyse_Umemoto,23
Ashley,Underwood,female,http://survivor.wikia.com/wiki/Ashley_Underwood,22
Stephanie,Valencia,female,http://survivor.wikia.com/wiki/Stephanie_Valencia,22
Lex,van den Berghe,male,http://survivor.wikia.com/wiki/Lex_van_den_Berghe,3
Lex,van den Berghe,male,http://survivor.wikia.com/wiki/Lex_van_den_Berghe,8
Tanya,Vance,female,http://survivor.wikia.com/wiki/Tanya_Vance,5
Brianna,Varela,female,http://survivor.wikia.com/wiki/Brianna_Varela,11
Jeff,Varner,male,http://survivor.wikia.com/wiki/Jeff_Varner,2
Jeff,Varner,male,http://survivor.wikia.com/wiki/Jeff_Varner,31
Jeff,Varner,male,http://survivor.wikia.com/wiki/Jeff_Varner,34
Kathy,Vavrick-O'Brien,female,http://survivor.wikia.com/wiki/Kathy_Vavrick-O%27Brien,4
Kathy,Vavrick-O'Brien,female,http://survivor.wikia.com/wiki/Kathy_Vavrick-O%27Brien,8
Rita,Verreos,female,http://survivor.wikia.com/wiki/Rita_Verreos,14
Libby,Vincek,female,http://survivor.wikia.com/wiki/Libby_Vincek,36
Brad,Virata,male,http://survivor.wikia.com/wiki/Brad_Virata,13
Tony,Vlachos,male,http://survivor.wikia.com/wiki/Tony_Vlachos,28
Tony,Vlachos,male,http://survivor.wikia.com/wiki/Tony_Vlachos,34
Matthew,von Ertfelda,male,http://survivor.wikia.com/wiki/Matthew_von_Ertfelda,6
Paul,Wachter,male,http://survivor.wikia.com/wiki/Paul_Wachter,33
Coach,Wade,male,http://survivor.wikia.com/wiki/Coach_Wade,18
Coach,Wade,male,http://survivor.wikia.com/wiki/Coach_Wade,20
Coach,Wade,male,http://survivor.wikia.com/wiki/Coach_Wade,23
Will,Wahl,male,http://survivor.wikia.com/wiki/Will_Wahl,33
Debbie,Wanner,female,http://survivor.wikia.com/wiki/Debbie_Wanner,32
Debbie,Wanner,female,http://survivor.wikia.com/wiki/Debbie_Wanner,34
Joanna,Ward,female,http://survivor.wikia.com/wiki/Joanna_Ward,6
Shambo,Waters,female,http://survivor.wikia.com/wiki/Shambo_Waters,19
Chet,Welch,male,http://survivor.wikia.com/wiki/Chet_Welch,16
Dale,Wentworth,male,http://survivor.wikia.com/wiki/Dale_Wentworth,29
Kelley,Wentworth,female,http://survivor.wikia.com/wiki/Kelley_Wentworth,29
Kelley,Wentworth,female,http://survivor.wikia.com/wiki/Kelley_Wentworth,31
Tina,Wesson,female,http://survivor.wikia.com/wiki/Tina_Wesson,2
Tina,Wesson,female,http://survivor.wikia.com/wiki/Tina_Wesson,8
Tina,Wesson,female,http://survivor.wikia.com/wiki/Tina_Wesson,27
Tom,Westman,male,http://survivor.wikia.com/wiki/Tom_Westman,10
Tom,Westman,male,http://survivor.wikia.com/wiki/Tom_Westman,20
Sydney,Wheeler,female,http://survivor.wikia.com/wiki/Sydney_Wheeler,18
Lisa,Whelchel,female,http://survivor.wikia.com/wiki/Lisa_Whelchel,25
Natalie,White,female,http://survivor.wikia.com/wiki/Natalie_White,19
Sarita,White,female,http://survivor.wikia.com/wiki/Sarita_White,22
Matty,Whitmore,male,http://survivor.wikia.com/wiki/Matty_Whitmore,17
Kelly,Wiglesworth,female,http://survivor.wikia.com/wiki/Kelly_Wiglesworth,1
Kelly,Wiglesworth,female,http://survivor.wikia.com/wiki/Kelly_Wiglesworth,31
Carter,Williams,male,http://survivor.wikia.com/wiki/Carter_Williams,25
Desi,Williams,female,http://survivor.wikia.com/wiki/Desi_Williams,35
Alina,Wilson,female,http://survivor.wikia.com/wiki/Alina_Wilson,21
Baylor,Wilson,female,http://survivor.wikia.com/wiki/Baylor_Wilson,29
Jeff,Wilson,male,http://survivor.wikia.com/wiki/Jeff_Wilson,10
Mikayla,Wingle,female,http://survivor.wikia.com/wiki/Mikayla_Wingle,23
Julie,Wolfe,female,http://survivor.wikia.com/wiki/Julie_Wolfe,22
Jeremiah,Wood,male,http://survivor.wikia.com/wiki/Jeremiah_Wood,28
Candice,Woodcock,female,http://survivor.wikia.com/wiki/Candice_Woodcock,13
Candice,Woodcock,female,http://survivor.wikia.com/wiki/Candice_Woodcock,20
Candice,Woodcock,female,http://survivor.wikia.com/wiki/Candice_Woodcock,27
David,Wright,male,http://survivor.wikia.com/wiki/David_Wright,33
Steve,Wright,male,http://survivor.wikia.com/wiki/Steve_Wright,22
Courtney,Yates,female,http://survivor.wikia.com/wiki/Courtney_Yates,15
Courtney,Yates,female,http://survivor.wikia.com/wiki/Courtney_Yates,20
Michael,Yerger,male,http://survivor.wikia.com/wiki/Michael_Yerger,36
Michelle,Yi,female,http://survivor.wikia.com/wiki/Michelle_Yi,14
Pete,Yurkowski,male,http://survivor.wikia.com/wiki/Pete_Yurkowski,25
Mike,Zahalsky,male,http://survivor.wikia.com/wiki/Mike_Zahalsky,35
Zoe,Zanidakis,female,http://survivor.wikia.com/wiki/Zoe_Zanidakis,4
Robb,Zbacnik,male,http://survivor.wikia.com/wiki/Robb_Zbacnik,5
Frosti,Zernow,male,http://survivor.wikia.com/wiki/Frosti_Zernow,15
Ethan,Zohn,male,http://survivor.wikia.com/wiki/Ethan_Zohn,3
Ethan,Zohn,male,http://survivor.wikia.com/wiki/Ethan_Zohn,8
